epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1296.93,1.68447,1.72257,1.44035,0.49488,0.39543,0.37934,0.17852,1.78919,1.83691,1.55433,0.000666279,0.000666279,0.000666279
2,2621.29,1.75661,1.71084,1.51404,0.53558,0.39061,0.40292,0.19385,1.78243,1.63463,1.52109,0.00126696,0.00126696,0.00126696
3,3948.51,1.74439,1.68038,1.50395,0.51178,0.3922,0.40014,0.19917,1.78314,1.63192,1.51027,0.00180165,0.00180165,0.00180165
4,5272.07,1.71564,1.64193,1.48872,0.53866,0.41502,0.42108,0.20397,1.73235,1.60898,1.47728,0.001703,0.001703,0.001703
5,6590.75,1.67355,1.57829,1.45949,0.57264,0.44263,0.46003,0.23242,1.67164,1.48334,1.46313,0.001604,0.001604,0.001604
6,7911.46,1.64371,1.5426,1.44818,0.56762,0.43903,0.46336,0.23927,1.64554,1.47991,1.42571,0.001505,0.001505,0.001505
7,9201.91,1.61954,1.50781,1.42786,0.56544,0.44813,0.4611,0.23613,1.61957,1.44497,1.42114,0.001406,0.001406,0.001406
8,10486.5,1.60543,1.48265,1.41931,0.59414,0.45088,0.48299,0.25169,1.62218,1.38137,1.40063,0.001307,0.001307,0.001307
9,11775.7,1.58873,1.45075,1.40334,0.59297,0.46199,0.49357,0.26021,1.59073,1.36922,1.39086,0.001208,0.001208,0.001208
10,13082.7,1.57012,1.42419,1.39614,0.58524,0.46803,0.49525,0.26409,1.5737,1.3546,1.3863,0.001109,0.001109,0.001109
11,14442.1,1.59358,1.40338,1.41698,0.60849,0.46083,0.49572,0.26306,1.58101,1.34363,1.3945,0.00101,0.00101,0.00101
12,15773.3,1.5692,1.36554,1.40495,0.60235,0.47043,0.50269,0.26917,1.58313,1.33036,1.39271,0.000911,0.000911,0.000911
13,17065.5,1.55581,1.34599,1.39342,0.61009,0.47408,0.51171,0.27256,1.5624,1.30791,1.36737,0.000812,0.000812,0.000812
14,18353.9,1.53845,1.31517,1.38295,0.6126,0.47249,0.51268,0.27729,1.54572,1.29234,1.36513,0.000713,0.000713,0.000713
15,19676.7,1.52058,1.2978,1.37345,0.61537,0.4728,0.51775,0.28252,1.52387,1.27258,1.35396,0.000614,0.000614,0.000614
16,20973.4,1.50343,1.26606,1.35915,0.61455,0.47966,0.51909,0.28342,1.51717,1.26353,1.34927,0.000515,0.000515,0.000515
17,22241.8,1.48042,1.23976,1.34068,0.62827,0.48867,0.53045,0.29022,1.51182,1.23553,1.34341,0.000416,0.000416,0.000416
18,23506.5,1.47057,1.21943,1.3344,0.62717,0.48654,0.53078,0.29086,1.50688,1.22533,1.33568,0.000317,0.000317,0.000317
19,24772.1,1.4574,1.196,1.32503,0.62324,0.48928,0.5309,0.29184,1.49561,1.22547,1.32863,0.000218,0.000218,0.000218
20,26032.4,1.44145,1.17472,1.31388,0.63313,0.49454,0.538,0.29693,1.48985,1.20745,1.32353,0.000119,0.000119,0.000119
